time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,currencyservice_error,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705353846,0.6850227764229574,2.2164666881077237,0.21588648332356936,19.035876339299435,0.27916613863895584,6.724488551480164,0.5293104495747364,2.6368308705487165,2.474852765448978,0.28153846153846246,0.14440578539921983,111521792,43528192,11702272,40288256,43175936,16592896,38535168,10289152,45064192,3014656,8818688,75387.65931992822,0,0,41276.452804837085,4,4,9,4,3,30,3,4,4,4,3,14,26.467,0.8,90.4,1.133,14.133,13.4,0.933,143,18.2,7.867,0,0.133,0.2,0,0.002971107544141252,0.003218415263282874,0.24318198347441364,0.0662086725788043,0.003,0.20132311977715875,0.0048333796311728905,0.0020320144852025916,0.0074964336661911555,0.0027529897183967266,0.004604494382022473,0.004993147473909174,0.85,0.11063794831186796,0.004600000000000001,0.8197368421052631,0.008954559228761445,0.004417696061379822,0.009670470756062767,0.004576096985605968
1705353847,0.6850227764229574,2.2164666881077237,0.3800579762659633,19.035876339299435,0.27916613863895584,6.724488551480164,0.5293104495747364,2.6368577630573564,2.474852765448978,0.28153846153846246,0.1411276726130668,111521792,43528192,11706368,40288256,43175936,16592896,38535168,10289152,45064192,3014656,8818688,75387.65931992822,0,0,41276.452804837085,4,4,9,4,3,30,3,4,4,4,3,14.267,25.133,1,82.8,1.133,14.133,12,0.933,142.333,18.133,7.333,0,0.133,0,0,0.0029690402476780183,0.0032699781867206344,0.2999991110874067,0.06625637061000163,0.003,0.206970509383378,0.0048333796311728905,0.0020574659686485638,0.0075,0.0027568643746229697,0.004593808049535604,0.006015302260462251,0.8999990123212918,0.09948217210189489,0.004600000000000001,0.8236966824644547,0.008954559228761445,0.004423281008608522,0.009671983356449377,0.0045764719334135924
1705353848,0.5827070134000064,2.2164666881077237,0.3800579762659633,19.035876339299435,0.27916613863895584,6.724488551480164,0.5293104495747364,2.5840588330480982,2.474852765448978,0.28153846153846246,0.13784955982691377,111521792,43528192,11706368,40288256,43175936,16592896,38535168,10289152,45064192,3014656,8818688,64127.67475983784,0,0,41276.452804837085,4,4,9,4,3,30,3,4,4,4,3,14.267,25.133,1,82.8,1.133,14.133,12,1.133,142.333,18.133,7.333,0,0.133,0,0,0.0029690402476780183,0.0032699781867206344,0.2999991110874067,0.06625637061000163,0.003,0.206970509383378,0.004157928717799964,0.0020574659686485638,0.0075,0.0027568643746229697,0.004593808049535604,0.006015302260462251,0.8999990123212918,0.09948217210189489,0.004600000000000001,0.8236966824644547,0.008636388980921058,0.004423281008608522,0.009671983356449377,0.0045764719334135924
1705353849,0.6259025122001314,2.2164666881077237,0.3800579762659633,19.106595931325547,0.27916613863895584,6.724488551480164,0.5293104495747364,3.2503167940442697,2.474852765448978,0.28153846153846246,0.13457144704076077,111521792,43528192,11706368,40103936,43175936,16592896,38535168,10522624,45064192,3014656,8818688,46705.22836114618,0,0,41276.452804837085,4,4,9,4,3,30,3,4,4,4,3,14.267,25.133,1,82.8,1.133,11.867,12,1.133,141.867,18.133,7.333,0,0,0,0,0.0029690402476780183,0.0032699781867206344,0.2999991110874067,0.06625637061000163,0.003,0.20910852713178296,0.004157928717799964,0.0020226998967231356,0.0075,0.0027568643746229697,0.004593808049535604,0.006015302260462251,0.8999990123212918,0.09948217210189489,0.004600000000000001,0.8143805309734515,0.008636388980921058,0.004416255864698596,0.009671983356449377,0.0045764719334135924
1705353850,0.6134143710541734,2.2164666881077237,0.3800579762659633,19.106595931325547,0.27916613863895584,5.572667718718504,0.5293104495747364,3.2503167940442697,2.474852765448978,0.28153846153846246,0.13129333425460774,111521792,43528192,11706368,40103936,43175936,16592896,38535168,10522624,45064192,3014656,8818688,45773.35562911647,0,0,41276.452804837085,4,4,9,4,3,30,3,4,4,4,3,14.267,22.8,1,82.8,1.133,11.867,12,1.133,141.867,18.133,7.333,0,0,0,0,0.0029690402476780183,0.0032823527141210966,0.2999991110874067,0.06625637061000163,0.003,0.20910852713178296,0.004157928717799964,0.0020226998967231356,0.0075,0.0027568643746229697,0.004593808049535604,0.006304119677200009,0.8999990123212918,0.09948217210189489,0.004600000000000001,0.8143805309734515,0.008636388980921058,0.004416255864698596,0.009671983356449377,0.0045764719334135924
1705353851,0.6009262299082153,2.2164666881077237,0.3800579762659633,19.106595931325547,0.27916613863895584,6.775227665705912,0.5293104495747364,3.2503167940442697,2.474852765448978,0.28153846153846246,0.12801522146845476,111521792,43528192,11706368,40103936,43175936,16179200,38535168,10522624,45064192,3014656,8818688,44841.48289708675,0,0,41276.452804837085,4,4,9,4,3,30,3,4,4,4,3,14.267,22.8,1,82.8,1.133,11.867,12,1.133,141.867,18.133,7.333,0,0,0,0,0.0029690402476780183,0.0032823527141210966,0.2999991110874067,0.06625637061000163,0.003,0.20910852713178296,0.004157928717799964,0.0020226998967231356,0.0075,0.0027568643746229697,0.004593808049535604,0.006304119677200009,0.8999990123212918,0.09948217210189489,0.004600000000000001,0.8143805309734515,0.008636388980921058,0.004416255864698596,0.009671983356449377,0.0045764719334135924
1705353852,0.5884380887622572,2.2164666881077237,0.35296654492513146,19.106595931325547,0.27916613863895584,6.775227665705912,0.5293104495747364,3.2503167940442697,2.474852765448978,0.28153846153846246,0.22346700902057645,111521792,43528192,11706368,40103936,43175936,16179200,38535168,10522624,45064192,3014656,8859648,43909.61016505705,0,0,41276.452804837085,4,4,9,4,3,30,3,4,4,4,3,14.267,22.867,1.067,83.467,1.2,11.867,12,1.067,142.6,18.133,7.267,0,0,0,0,0.0029690402476780183,0.003283298097251586,0.3125,0.06625,0.003,0.20910852713178296,0.0042173913043478265,0.0020295685894328656,0.0075,0.0027695167286245362,0.004593808049535604,0.006340206185567019,0.9318181818181818,0.0994516806722689,0.004600000000000001,0.8143805309734515,0.00867857142857143,0.004417547261269996,0.009671983356449377,0.004577695167286245
1705353853,0.5759499476162991,2.1735845327295937,0.36116011120355646,19.106595931325547,0.27916613863895584,6.775227665705912,0.5293104495747363,3.2503167940442697,2.1270174563763113,0.28153846153846246,0.2339668615984413,111521792,43540480,11706368,40103936,43175936,16179200,38535168,10522624,45064192,3014656,8859648,42977.73743302733,0,0,41276.452804837085,4,4,9,4,3,30,3,4,4,4,3,14.267,22.867,1.067,83.467,1.2,11.867,12,1.067,142.6,18.133,7.267,0,0,0,0,0.0029690402476780183,0.003283298097251586,0.3125,0.06625,0.003,0.20910852713178296,0.0042173913043478265,0.0020295685894328656,0.0075,0.0027695167286245362,0.004593808049535604,0.006340206185567019,0.9318181818181818,0.0994516806722689,0.004600000000000001,0.8143805309734515,0.00867857142857143,0.004417547261269996,0.009671983356449377,0.004577695167286245
1705353854,0.5634618064703412,2.1735845327295937,0.36935367748198145,19.106595931325547,0.27916613863895584,6.775227665705912,0.5293104495747363,3.2503167940442697,2.520187746375431,0.28153846153846246,0.2339668615984413,111521792,43540480,11706368,40103936,43175936,16179200,38535168,10522624,45064192,3014656,8859648,42045.86470099763,0,0,41276.452804837085,4,4,9,4,3,30,3,4,4,4,3,14.267,22.867,1.067,83.467,1.2,11.867,12,1.067,142.6,18.133,7.267,0,0,0,0,0.0029690402476780183,0.003283298097251586,0.3125,0.06625,0.003,0.20910852713178296,0.0042173913043478265,0.0020295685894328656,0.0075,0.0027695167286245362,0.004593808049535604,0.006340206185567019,0.9318181818181818,0.0994516806722689,0.004600000000000001,0.8143805309734515,0.00867857142857143,0.004417547261269996,0.009671983356449377,0.004577695167286245
1705353855,0.5509736653243831,2.1735845327295937,0.3775472437604065,19.106595931325547,0.27916613863895584,6.775227665705912,0.5293104495747363,3.2503167940442697,2.520187746375431,0.28153846153846246,0.2339668615984413,111521792,43540480,11706368,40103936,43175936,16179200,38535168,10522624,45064192,3014656,8859648,41113.99196896791,0,0,41276.452804837085,4,4,9,4,3,30,3,4,4,4,3,14.267,22.867,1.067,83.467,1.2,11.867,12,1.067,142.6,18.133,7.267,0,0,0,0,0.0029690402476780183,0.003283298097251586,0.3125,0.06625,0.003,0.20910852713178296,0.0042173913043478265,0.0020295685894328656,0.0075,0.0027695167286245362,0.004593808049535604,0.006340206185567019,0.9318181818181818,0.0994516806722689,0.004600000000000001,0.8143805309734515,0.00867857142857143,0.004417547261269996,0.009671983356449377,0.004577695167286245
